DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
664.0,,13.9454,,,,,Andrew,211/18-9
664.5,,13.7223,,,,,Andrew,211/18-9
665.0,,12.8228,,,,,Andrew,211/18-9
665.5,,12.4,,,,,Andrew,211/18-9
666.0,,12.5471,,,,,Andrew,211/18-9
666.5,,13.058,,,,,Andrew,211/18-9
667.0,,13.8726,,,,,Andrew,211/18-9
667.5,,16.1171,,,,,Andrew,211/18-9
668.0,,17.8,,,,,Andrew,211/18-9
668.5,,17.204,,,,,Andrew,211/18-9
669.0,,17.2881,,,,,Andrew,211/18-9
669.5,,19.9324,,,,,Andrew,211/18-9
670.0,,23.6866,,,,,Andrew,211/18-9
670.5,,25.4775,,,,,Andrew,211/18-9
671.0,,25.4161,,,,,Andrew,211/18-9
671.5,,23.5738,,,,,Andrew,211/18-9
672.0,,20.072,,,,,Andrew,211/18-9
672.5,,17.3636,,,,,Andrew,211/18-9
673.0,,14.8748,,,,,Andrew,211/18-9
673.5,,15.133,,,,,Andrew,211/18-9
674.0,,15.5842,,,,,Andrew,211/18-9
674.5,,14.5244,,,,,Andrew,211/18-9
675.0,,13.7191,,,,,Andrew,211/18-9
675.5,,14.6143,,,,,Andrew,211/18-9
676.0,,14.6814,,,,,Andrew,211/18-9
676.5,,14.6908,,,,,Andrew,211/18-9
677.0,,15.1322,,,,,Andrew,211/18-9
677.5,,15.867,,,,,Andrew,211/18-9
678.0,,16.4821,,,,,Andrew,211/18-9
678.5,,15.697,,,,,Andrew,211/18-9
679.0,,14.096,,,,,Andrew,211/18-9
679.5,,15.6798,,,,,Andrew,211/18-9
680.0,,17.4667,,,,,Andrew,211/18-9
680.5,,18.2,,,,,Andrew,211/18-9
681.0,,15.8451,,,,,Andrew,211/18-9
681.5,,14.2,,,,,Andrew,211/18-9
682.0,,15.2052,,,,,Andrew,211/18-9
682.5,,16.6,,,,,Andrew,211/18-9
683.0,,15.305,,,,,Andrew,211/18-9
683.5,,15.8082,,,,,Andrew,211/18-9
684.0,,16.4,,,,,Andrew,211/18-9
684.5,,16.4607,,,,,Andrew,211/18-9
685.0,,17.1189,,,,,Andrew,211/18-9
685.5,,17.7099,,,,,Andrew,211/18-9
686.0,,17.2092,,,,,Andrew,211/18-9
686.5,,17.2,,,,,Andrew,211/18-9
687.0,,18.547,,,,,Andrew,211/18-9
687.5,,19.4,,,,,Andrew,211/18-9
688.0,,18.4711,,,,,Andrew,211/18-9
688.5,,17.0249,,,,,Andrew,211/18-9
689.0,,14.9871,,,,,Andrew,211/18-9
689.5,,14.6879,,,,,Andrew,211/18-9
690.0,,15.022,,,,,Andrew,211/18-9
690.5,,15.1867,,,,,Andrew,211/18-9
691.0,,14.9816,,,,,Andrew,211/18-9
691.5,,15.4051,,,,,Andrew,211/18-9
692.0,,16.2736,,,,,Andrew,211/18-9
692.5,,16.2887,,,,,Andrew,211/18-9
693.0,,15.407,,,,,Andrew,211/18-9
693.5,,16.5831,,,,,Andrew,211/18-9
694.0,,17.7389,,,,,Andrew,211/18-9
694.5,,18.6021,,,,,Andrew,211/18-9
695.0,,19.4383,,,,,Andrew,211/18-9
695.5,,20.5391,,,,,Andrew,211/18-9
696.0,,21.6,,,,,Andrew,211/18-9
696.5,,20.5748,,,,,Andrew,211/18-9
697.0,,19.0059,,,,,Andrew,211/18-9
697.5,,17.9275,,,,,Andrew,211/18-9
698.0,,18.9765,,,,,Andrew,211/18-9
698.5,,19.4,,,,,Andrew,211/18-9
699.0,,20.0835,,,,,Andrew,211/18-9
699.5,,22.158,,,,,Andrew,211/18-9
700.0,,24.5245,,,,,Andrew,211/18-9
700.5,,23.2583,,,,,Andrew,211/18-9
701.0,,20.7187,,,,,Andrew,211/18-9
701.5,,16.9073,,,,,Andrew,211/18-9
702.0,,14.3577,,,,,Andrew,211/18-9
