,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
2064,14/20- 14,1021,Sele,-0.122258,58.403044,DORNOCH,MORAY
2065,14/20- 14,1360,Lista,-0.122258,58.403044,LISTA,MONTROSE
2066,14/20- 14,2020,Maureen,-0.122258,58.403044,MAUREEN,MONTROSE
2067,14/20- 14,2197,Upper Cretaceous Chalk,-0.122258,58.403044,TOR,CHALK
2068,14/20- 14,2767,Rodby,-0.122258,58.403044,,
2069,14/20- 14,2925,Sola,-0.122258,58.403044,,
2070,14/20- 14,2978,Valhall,-0.122258,58.403044,,
2071,14/20- 14,3060,Kimmeridge Clay,-0.122258,58.403044,,
2072,14/20- 14,3062,Piper,-0.122258,58.403044,,
2073,14/20- 14,3124,Smith Bank,-0.122258,58.403044,,
2074,14/20- 14,3224,Turbot Anhydrite,-0.122258,58.403044,,
2090,14/20- 2,537,Upper Mousa,-0.144361,58.341944,,
2091,14/20- 2,655,Middle Mousa,-0.144361,58.341944,,
2092,14/20- 2,711,Lower Mousa,-0.144361,58.341944,,
2093,14/20- 2,807,Beauly,-0.144361,58.341944,BEAULY,MORAY
2094,14/20- 2,957,Dornoch,-0.144361,58.341944,DORNOCH,MORAY
2095,14/20- 2,1132,Sele,-0.144361,58.341944,DORNOCH,MORAY
2096,14/20- 2,1316,Lista,-0.144361,58.341944,LISTA,MONTROSE
2097,14/20- 2,1783,Maureen,-0.144361,58.341944,MAUREEN,MONTROSE
2098,14/20- 2,2038,Upper Cretaceous Chalk,-0.144361,58.341944,TOR,CHALK
2099,14/20- 2,2372,Valhall,-0.144361,58.341944,,
2100,14/20- 2,2381,Kimmeridge Clay,-0.144361,58.341944,,
2101,14/20- 2,2429,Piper,-0.144361,58.341944,,
2102,14/20- 2,2561,Smith Bank,-0.144361,58.341944,,
2103,14/20- 2,2633,Turbot Anhydrite,-0.144361,58.341944,,
2133,14/20- 5,517,Upper Mousa,-0.123069,58.394375,,
2134,14/20- 5,649,Middle Mousa,-0.123069,58.394375,,
2135,14/20- 5,709,Lower Mousa,-0.123069,58.394375,,
2136,14/20- 5,791,Beauly,-0.123069,58.394375,BEAULY,MORAY
2137,14/20- 5,965,Dornoch,-0.123069,58.394375,DORNOCH,MORAY
2138,14/20- 5,1053,Sele,-0.123069,58.394375,DORNOCH,MORAY
2139,14/20- 5,1248,Lista,-0.123069,58.394375,LISTA,MONTROSE
2140,14/20- 5,1834,Maureen,-0.123069,58.394375,MAUREEN,MONTROSE
2141,14/20- 5,2014,Upper Cretaceous Chalk,-0.123069,58.394375,TOR,CHALK
2142,14/20- 5,2549,Rodby,-0.123069,58.394375,,
2143,14/20- 5,2679,Sola,-0.123069,58.394375,,
2144,14/20- 5,2757,Valhall,-0.123069,58.394375,,
2145,14/20- 5,2977,Kimmeridge Clay,-0.123069,58.394375,,
2146,14/20- 5,3117,Piper,-0.123069,58.394375,,
2147,14/20- 5,3160,Sgiath,-0.123069,58.394375,,
2148,14/20- 5,3180,Smith Bank,-0.123069,58.394375,,
2167,14/20- 7,562,Horda,-0.040917,58.383806,,
2168,14/20- 7,675,Middle Mousa,-0.040917,58.383806,,
2169,14/20- 7,744,Lower Mousa,-0.040917,58.383806,,
2170,14/20- 7,857,Beauly,-0.040917,58.383806,BEAULY,MORAY
2171,14/20- 7,1039,Dornoch,-0.040917,58.383806,DORNOCH,MORAY
2172,14/20- 7,1157,Sele,-0.040917,58.383806,DORNOCH,MORAY
2173,14/20- 7,1326,Lista,-0.040917,58.383806,LISTA,MONTROSE
2174,14/20- 7,1935,Maureen,-0.040917,58.383806,MAUREEN,MONTROSE
2175,14/20- 7,2100,Upper Cretaceous Chalk,-0.040917,58.383806,TOR,CHALK
2176,14/20- 7,2667,Rodby,-0.040917,58.383806,,
2177,14/20- 7,2866,Sola,-0.040917,58.383806,,
2178,14/20- 7,2936,Valhall,-0.040917,58.383806,,
