,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
11186,14/20-1,31.5278,106.259,,0.4569,,,
11187,14/20-1,31.9676,105.8267,,0.4521,,,
11188,14/20-1,32.2463,105.719,,0.4478,,,
11189,14/20-1,32.3499,105.8209,,0.4452,,,
11190,14/20-1,32.0277,105.7626,,0.4491,,,
11191,14/20-1,32.3593,105.6622,,0.4557,,,
11192,14/20-1,32.8677,105.6592,,0.4601,,,
11193,14/20-1,33.9518,105.6605,,0.469,,,
11194,14/20-1,34.2197,105.6618,,0.4827,,,
11195,14/20-1,34.2177,105.7588,,0.4983,,,
11196,14/20-1,34.2492,106.0862,,0.5139,,,
11197,14/20-1,34.5807,106.1364,,0.5296,,,
11198,14/20-1,34.9803,105.8265,,0.5452,,,
11199,14/20-1,35.3244,105.2841,,0.5576,,,
11200,14/20-1,35.4461,105.2728,,0.5528,,,
11201,14/20-1,35.8585,105.3845,,0.5476,,,
11202,14/20-1,36.2174,105.9735,,0.5353,,,
11203,14/20-1,36.6959,107.4617,,0.5239,,,
11204,14/20-1,36.191,109.7571,,0.5169,,,
11205,14/20-1,34.9842,110.5289,,0.5128,,,
11206,14/20-1,34.005,110.5206,,0.5086,,,
11207,14/20-1,33.2647,110.121,,0.5041,,,
11208,14/20-1,32.9948,108.5812,,0.4978,,,
11209,14/20-1,33.0807,105.8876,,0.4914,,,
11210,14/20-1,33.4435,105.9951,,0.4851,,,
11211,14/20-1,33.8751,106.5225,,0.4787,,,
11212,14/20-1,33.7733,106.9466,,0.4724,,,
11213,14/20-1,33.6523,107.0513,,0.466,,,
11214,14/20-1,32.814,106.8116,,0.4618,,,
11215,14/20-1,32.3626,106.186,,0.4585,,,
11216,14/20-1,32.3592,105.6149,,0.4552,,,
11217,14/20-1,32.5671,105.265,,0.452,,,
11218,14/20-1,33.0861,104.9157,,0.4487,,,
11219,14/20-1,33.5978,104.8426,,0.4487,,,
11220,14/20-1,33.663,105.1153,,0.4537,,,
11221,14/20-1,33.3905,105.2334,,0.4587,,,
11222,14/20-1,33.659,104.954,,0.4634,,,
11223,14/20-1,34.4059,104.8022,,0.4681,,,
11224,14/20-1,34.9996,104.8018,,0.4728,,,
11225,14/20-1,35.9787,104.9731,,0.4762,,,
11226,14/20-1,36.6021,105.3908,,0.4761,,,
11227,14/20-1,37.3153,105.7018,,0.4734,,,
11228,14/20-1,37.7216,105.9319,,0.4692,,,
11229,14/20-1,37.658,106.0775,,0.4649,,,
11230,14/20-1,36.7298,106.0029,,0.4616,,,
11231,14/20-1,35.6442,105.4554,,0.4593,,,
11232,14/20-1,34.9671,105.0212,,0.457,,,
11233,14/20-1,35.1122,104.8503,,0.4547,,,
11234,14/20-1,35.7072,105.355,,0.4531,,,
11235,14/20-1,36.0437,106.1412,,0.4519,,,
11236,14/20-1,36.0946,106.4989,,0.4507,,,
11237,14/20-1,35.9574,106.5272,,0.4497,,,
11238,14/20-1,35.4642,106.4924,,0.4507,,,
11239,14/20-1,35.1699,106.4576,,0.4519,,,
11240,14/20-1,34.9529,106.4227,,0.4532,,,
11241,14/20-1,33.8723,106.3879,,0.4578,,,
11242,14/20-1,33.5021,106.371,,0.4637,,,
11243,14/20-1,33.3806,106.6356,,0.4723,,,
11244,14/20-1,33.0882,106.9825,,0.4827,,,
11245,14/20-1,33.1123,107.1415,,0.4912,,,
11246,14/20-1,33.5263,107.3466,,0.4964,,,
11247,14/20-1,34.224,107.5812,,0.4942,,,
11248,14/20-1,35.2355,107.7047,,0.4934,,,
11249,14/20-1,36.1968,107.365,,0.4925,,,
11250,14/20-1,36.5159,106.9822,,0.4835,,,
11251,14/20-1,36.4126,106.1652,,0.4745,,,
11252,14/20-1,35.6336,105.5653,,0.4655,,,
11253,14/20-1,34.9641,105.4681,,0.4571,,,
11254,14/20-1,34.7283,105.4117,,0.4527,,,
11255,14/20-1,34.6308,105.4144,,0.4489,,,
11256,14/20-1,34.6274,105.4171,,0.4451,,,
11257,14/20-1,34.6241,105.4444,,0.448,,,
11258,14/20-1,34.7008,105.5395,,0.4537,,,
11259,14/20-1,35.304,105.6204,,0.4575,,,
11260,14/20-1,35.9298,105.6259,,0.4599,,,
11261,14/20-1,37.1472,105.6286,,0.4655,,,
11262,14/20-1,36.6312,105.6313,,0.4724,,,
11263,14/20-1,35.2559,105.6339,,0.4784,,,
11264,14/20-1,33.9553,105.6178,,0.4817,,,
11265,14/20-1,32.9304,105.5179,,0.4851,,,
11266,14/20-1,31.9263,106.0179,,0.4884,,,
11267,14/20-1,31.6834,106.4636,,0.4923,,,
11268,14/20-1,32.1167,106.7578,,0.4978,,,
11269,14/20-1,31.5045,106.595,,0.5034,,,
11270,14/20-1,31.11,105.5982,,0.5097,,,
11271,14/20-1,30.9729,104.3437,,0.5162,,,
11272,14/20-1,31.0519,102.9865,,0.5292,,,
11273,14/20-1,31.515,101.7257,,0.5446,,,
11274,14/20-1,32.1138,101.3974,,0.5547,,,
11275,14/20-1,32.7519,101.5725,,0.5535,,,
11276,14/20-1,33.3079,101.6981,,0.5468,,,
11277,14/20-1,33.3062,101.8496,,0.5387,,,
11278,14/20-1,32.754,102.0072,,0.5281,,,
11279,14/20-1,32.1386,102.1647,,0.5175,,,
11280,14/20-1,31.8037,102.3223,,0.5125,,,
11281,14/20-1,32.2792,102.465,,0.5116,,,
11282,14/20-1,33.0982,102.3582,,0.5108,,,
11283,14/20-1,34.0363,102.183,,0.5099,,,
11284,14/20-1,35.0026,101.9149,,0.5091,,,
11285,14/20-1,35.7136,101.6256,,0.5083,,,
11286,14/20-1,35.7923,101.8161,,0.5066,,,
11287,14/20-1,35.5019,102.6195,,0.503,,,
11288,14/20-1,35.3647,103.3718,,0.4993,,,
11289,14/20-1,35.5963,103.8236,,0.4957,,,
11290,14/20-1,36.0865,103.9231,,0.492,,,
11291,14/20-1,36.8964,103.8845,,0.4884,,,
11292,14/20-1,37.992,103.5874,,0.4852,,,
11293,14/20-1,38.7124,103.2831,,0.4879,,,
11294,14/20-1,38.1605,103.0465,,0.493,,,
11295,14/20-1,37.1115,103.3076,,0.505,,,
11296,14/20-1,36.1384,103.9422,,0.5193,,,
11297,14/20-1,35.1675,104.578,,0.5346,,,
11298,14/20-1,34.3893,105.0854,,0.5573,,,
11299,14/20-1,34.0842,105.4094,,0.5821,,,
11300,14/20-1,33.9984,105.6881,,0.6068,,,
11301,14/20-1,33.624,106.0287,,0.6315,,,
11302,14/20-1,32.9279,105.6005,,0.6526,,,
11303,14/20-1,32.362,102.9892,,0.661,,,
11304,14/20-1,32.4217,92.8095,,0.66,,,
11305,14/20-1,32.8646,81.9709,,0.6417,,,
11306,14/20-1,33.6193,74.3665,,0.616,,,
11307,14/20-1,34.4312,70.7098,,0.5851,,,
11308,14/20-1,34.1707,77.7815,,0.5606,,,
11309,14/20-1,32.9929,87.6558,,0.5371,,,
11310,14/20-1,31.7087,98.7039,,0.5138,,,
11311,14/20-1,31.1604,104.346,,0.4969,,,
11312,14/20-1,31.8176,105.2793,,0.4897,,,
11313,14/20-1,32.9935,105.53,,0.4979,,,
11314,14/20-1,33.7444,105.4548,,0.5081,,,
11315,14/20-1,33.8229,105.3136,,0.5163,,,
11316,14/20-1,33.617,104.9671,,0.5247,,,
11317,14/20-1,33.3315,104.2704,,0.5352,,,
11318,14/20-1,33.3956,101.0565,,0.5455,,,
11319,14/20-1,33.7442,94.5378,,0.5531,,,
11320,14/20-1,33.9361,88.2248,,0.5602,,,
11321,14/20-1,33.6315,86.3589,,0.5649,,,
11322,14/20-1,32.9996,89.2596,,0.5628,,,
11323,14/20-1,32.5069,95.6922,,0.55,,,
11324,14/20-1,32.056,99.2206,,0.5365,,,
11325,14/20-1,31.7852,100.2198,,0.5232,,,
11326,14/20-1,31.5225,100.5421,,0.5095,,,
11327,14/20-1,31.0416,100.9061,,0.4947,,,
11328,14/20-1,30.7325,101.6916,,0.4803,,,
11329,14/20-1,30.4694,102.7072,,0.4715,,,
11330,14/20-1,30.2064,103.4324,,0.4649,,,
11331,14/20-1,29.9435,103.4765,,0.4627,,,
11332,14/20-1,29.7913,103.3073,,0.4611,,,
11333,14/20-1,30.0311,103.6932,,0.46,,,
11334,14/20-1,30.6747,104.5522,,0.46,,,
11335,14/20-1,30.8646,105.8271,,0.4624,,,
11336,14/20-1,30.7026,106.4003,,0.4688,,,
11337,14/20-1,30.2482,105.6121,,0.4751,,,
11338,14/20-1,29.8867,104.8426,,0.481,,,
11339,14/20-1,30.0703,104.4889,,0.487,,,
11340,14/20-1,30.8347,104.2451,,0.4945,,,
11341,14/20-1,31.5382,103.936,,0.5047,,,
11342,14/20-1,31.7107,103.9258,,0.5149,,,
11343,14/20-1,32.1975,104.0308,,0.5251,,,
11344,14/20-1,33.2799,104.0128,,0.5352,,,
11345,14/20-1,34.2666,103.6718,,0.5454,,,
11346,14/20-1,34.6219,102.4186,,0.5539,,,
11347,14/20-1,34.1727,101.3903,,0.557,,,
11348,14/20-1,33.7045,100.7376,,0.5543,,,
11349,14/20-1,33.2317,100.0978,,0.5473,,,
11350,14/20-1,32.7604,99.2901,,0.5401,,,
11351,14/20-1,32.2877,98.0314,,0.5428,,,
11352,14/20-1,31.8151,97.2754,,0.5508,,,
11353,14/20-1,31.2658,97.7142,,0.5628,,,
11354,14/20-1,30.6815,99.3452,,0.5748,,,
11355,14/20-1,30.0968,100.8905,,0.5866,,,
11356,14/20-1,29.5123,101.4948,,0.5963,,,
11357,14/20-1,29.306,101.5329,,0.5998,,,
11358,14/20-1,29.4204,100.8647,,0.6007,,,
11359,14/20-1,29.8352,100.0564,,0.6007,,,
11360,14/20-1,30.3966,99.4789,,0.6006,,,
11361,14/20-1,31.1093,99.5878,,0.6006,,,
11362,14/20-1,31.5832,100.1844,,0.5947,,,
11363,14/20-1,31.8602,101.2377,,0.5853,,,
11364,14/20-1,32.2131,102.3018,,0.5761,,,
11365,14/20-1,32.6999,102.4077,,0.5677,,,
11366,14/20-1,33.3839,102.2474,,0.5594,,,
11367,14/20-1,34.2188,102.1352,,0.551,,,
11368,14/20-1,35.0864,102.1073,,0.5426,,,
11369,14/20-1,35.8223,102.2661,,0.5362,,,
11370,14/20-1,35.4102,102.6134,,0.534,,,
11371,14/20-1,34.8941,102.9735,,0.5331,,,
11372,14/20-1,35.236,102.8531,,0.5419,,,
11373,14/20-1,35.8779,102.4137,,0.5547,,,
11374,14/20-1,36.6697,101.7968,,0.5679,,,
11375,14/20-1,37.0733,101.5807,,0.5806,,,
11376,14/20-1,37.1825,101.856,,0.5871,,,
11377,14/20-1,37.3039,102.4671,,0.5886,,,
11378,14/20-1,37.6914,103.1831,,0.5881,,,
11379,14/20-1,37.9146,103.8608,,0.5853,,,
11380,14/20-1,37.7775,104.358,,0.582,,,
11381,14/20-1,36.9209,104.4633,,0.5761,,,
11382,14/20-1,35.5187,104.2475,,0.5694,,,
11383,14/20-1,34.3194,103.9393,,0.5615,,,
11384,14/20-1,33.6656,103.6041,,0.5537,,,
11385,14/20-1,33.1837,103.5939,,0.5456,,,
11386,14/20-1,32.402,104.1296,,0.5357,,,
11387,14/20-1,31.6665,105.2199,,0.5276,,,
11388,14/20-1,31.0768,106.3053,,0.5213,,,
11389,14/20-1,30.8311,105.7778,,0.5148,,,
11390,14/20-1,30.863,104.4128,,0.5076,,,
11391,14/20-1,31.1167,102.4087,,0.502,,,
11392,14/20-1,31.3049,101.2262,,0.502,,,
11393,14/20-1,31.4868,101.1703,,0.503,,,
11394,14/20-1,31.6686,101.4587,,0.5077,,,
11395,14/20-1,31.8543,101.7198,,0.5113,,,
11396,14/20-1,32.1496,101.9117,,0.5112,,,
11397,14/20-1,32.7274,102.0841,,0.5112,,,
11398,14/20-1,33.5886,102.1667,,0.5111,,,
11399,14/20-1,34.7832,102.1057,,0.5111,,,
11400,14/20-1,35.7655,101.9835,,0.511,,,
11401,14/20-1,36.6434,101.848,,0.511,,,
11402,14/20-1,36.9728,102.2152,,0.512,,,
11403,14/20-1,37.022,103.2767,,0.5188,,,
11404,14/20-1,36.7252,104.5586,,0.5262,,,
11405,14/20-1,36.6596,105.823,,0.5351,,,
11406,14/20-1,36.5541,106.3047,,0.5446,,,
11407,14/20-1,36.5112,105.8444,,0.5549,,,
11408,14/20-1,36.6608,104.8549,,0.5653,,,
11409,14/20-1,36.8101,103.6876,,0.5746,,,
11410,14/20-1,36.8285,103.1506,,0.5736,,,
11411,14/20-1,36.5852,104.1466,,0.57,,,
11412,14/20-1,36.0994,106.383,,0.5596,,,
11413,14/20-1,35.1425,106.4443,,0.548,,,
11414,14/20-1,33.4085,105.2449,,0.5358,,,
11415,14/20-1,32.2501,103.1392,,0.5269,,,
11416,14/20-1,32.0397,102.0042,,0.5213,,,
11417,14/20-1,32.0945,102.157,,0.5202,,,
11418,14/20-1,32.157,102.536,,0.5205,,,
11419,14/20-1,31.806,102.6231,,0.5232,,,
11420,14/20-1,31.5433,102.6263,,0.5286,,,
11421,14/20-1,32.2779,102.6295,,0.5378,,,
11422,14/20-1,33.2998,102.6328,,0.5473,,,
11423,14/20-1,34.067,102.636,,0.5577,,,
11424,14/20-1,34.2075,102.6392,,0.5679,,,
11425,14/20-1,33.4473,102.6424,,0.5733,,,
11426,14/20-1,32.9361,102.6905,,0.5746,,,
11427,14/20-1,33.186,102.9285,,0.57,,,
11428,14/20-1,33.1638,103.5161,,0.5653,,,
11429,14/20-1,32.5332,104.1601,,0.5601,,,
11430,14/20-1,31.6266,104.7136,,0.5549,,,
11431,14/20-1,31.4085,104.6756,,0.55,,,
11432,14/20-1,31.4097,104.0568,,0.5451,,,
11433,14/20-1,32.311,102.8916,,0.5402,,,
11434,14/20-1,32.7162,101.9873,,0.5349,,,
11435,14/20-1,33.3119,101.5607,,0.5296,,,
11436,14/20-1,33.5257,101.6928,,0.5257,,,
11437,14/20-1,33.4595,101.8899,,0.522,,,
11438,14/20-1,32.3789,102.0465,,0.518,,,
11439,14/20-1,30.8561,102.1506,,0.5136,,,
11440,14/20-1,29.9017,102.2338,,0.5102,,,
11441,14/20-1,29.2685,102.2977,,0.5101,,,
11442,14/20-1,29.7021,102.347,,0.5104,,,
11443,14/20-1,30.87,102.6611,,0.5186,,,
11444,14/20-1,32.0997,103.0261,,0.5298,,,
11445,14/20-1,33.0842,103.4658,,0.5385,,,
11446,14/20-1,33.8246,103.7903,,0.5454,,,
11447,14/20-1,34.0818,104.122,,0.5514,,,
11448,14/20-1,33.9127,104.4317,,0.5562,,,
11449,14/20-1,33.2983,104.4271,,0.5619,,,
11450,14/20-1,32.6516,103.8221,,0.5698,,,
11451,14/20-1,32.4283,103.1417,,0.5778,,,
11452,14/20-1,32.827,102.6617,,0.5859,,,
11453,14/20-1,34.2234,102.8357,,0.5938,,,
11454,14/20-1,35.2687,102.9417,,0.6028,,,
11455,14/20-1,36.5737,103.3201,,0.6313,,,
11456,14/20-1,38.3125,104.28,,0.6657,,,
11457,14/20-1,39.344,105.422,,0.7019,,,
11458,14/20-1,40.1812,105.7615,,0.7596,,,
11459,14/20-1,40.4992,105.8571,,0.8235,,,
11460,14/20-1,40.5561,105.9271,,0.8874,,,
11461,14/20-1,40.2581,105.7061,,0.9512,,,
11462,14/20-1,40.164,103.8146,,1.0147,,,
11463,14/20-1,40.162,101.9128,,1.076,,,
11464,14/20-1,40.1854,100.8285,,1.1374,,,
11465,14/20-1,40.7778,101.6705,,1.1978,,,
11466,14/20-1,41.5205,105.6562,,1.2489,,,
11467,14/20-1,41.9247,108.9871,,1.2777,,,
11468,14/20-1,41.2245,114.403,,1.2815,,,
11469,14/20-1,39.7674,115.7997,,1.2651,,,
11470,14/20-1,38.5961,113.8416,,1.2254,,,
11471,14/20-1,37.2574,108.7537,,1.1858,,,
11472,14/20-1,36.9846,102.4847,,1.1462,,,
11473,14/20-1,37.9812,96.3689,,1.1065,,,
11474,14/20-1,39.1886,98.0794,,1.0617,,,
11475,14/20-1,40.3135,101.0316,,1.0042,,,
11476,14/20-1,41.1571,103.7122,,0.9469,,,
11477,14/20-1,41.1053,104.8769,,0.8894,,,
11478,14/20-1,39.9293,104.1836,,0.8321,,,
11479,14/20-1,38.0563,102.8882,,0.7746,,,
11480,14/20-1,35.9931,102.2377,,0.7172,,,
11481,14/20-1,34.0702,102.1317,,0.6731,,,
11482,14/20-1,32.6975,102.7363,,0.6399,,,
11483,14/20-1,31.7186,103.4623,,0.6068,,,
11484,14/20-1,30.9557,104.3188,,0.5736,,,
11485,14/20-1,30.4647,104.4148,,0.5413,,,
11486,14/20-1,30.5011,103.8687,,0.5164,,,
11487,14/20-1,31.0547,103.0738,,0.4976,,,
11488,14/20-1,31.7621,102.5601,,0.4914,,,
11489,14/20-1,32.7476,103.0802,,0.4942,,,
11490,14/20-1,33.1412,103.6095,,0.4956,,,
11491,14/20-1,33.2742,104.1396,,0.4962,,,
11492,14/20-1,33.5967,104.6164,,0.4969,,,
11493,14/20-1,34.846,104.3357,,0.4975,,,
11494,14/20-1,35.818,103.2294,,0.4981,,,
11495,14/20-1,36.4012,102.309,,0.4987,,,
11496,14/20-1,36.689,102.9175,,0.4993,,,
11497,14/20-1,37.0795,104.0401,,0.4986,,,
11498,14/20-1,37.0852,105.2493,,0.493,,,
11499,14/20-1,36.5103,106.4607,,0.4905,,,
11500,14/20-1,35.5299,107.6698,,0.4905,,,
11501,14/20-1,34.0267,108.7576,,0.4905,,,
11502,14/20-1,32.8269,109.0251,,0.4908,,,
11503,14/20-1,31.9882,108.9413,,0.4999,,,
11504,14/20-1,31.9186,107.7488,,0.5212,,,
11505,14/20-1,32.5347,105.7182,,0.5425,,,
11506,14/20-1,33.7779,103.6166,,0.575,,,
11507,14/20-1,35.252,102.6392,,0.6365,,,
11508,14/20-1,36.2723,104.5833,,0.7034,,,
11509,14/20-1,36.3459,106.1461,,0.7647,,,
11510,14/20-1,34.7741,103.9562,,0.7689,,,
11511,14/20-1,33.3332,92.5735,,0.7273,,,
11512,14/20-1,33.0443,80.0078,,0.6626,,,
11513,14/20-1,33.409,77.0836,,0.5959,,,
11514,14/20-1,33.8134,87.0486,,0.555,,,
11515,14/20-1,33.4154,97.6989,,0.5365,,,
11516,14/20-1,32.7947,103.0652,,0.5268,,,
11517,14/20-1,32.3083,104.5826,,0.5198,,,
11518,14/20-1,32.227,104.6851,,0.524,,,
11519,14/20-1,32.2243,104.4129,,0.5371,,,
11520,14/20-1,32.2217,104.0036,,0.5659,,,
11521,14/20-1,32.4271,103.3394,,0.6117,,,
11522,14/20-1,33.5062,102.584,,0.6825,,,
11523,14/20-1,35.2145,101.8274,,0.7655,,,
11524,14/20-1,38.0079,101.097,,0.8489,,,
11525,14/20-1,40.3787,101.1445,,0.9326,,,
11526,14/20-1,43.0297,105.354,,1.0161,,,
11527,14/20-1,44.5262,110.5707,,1.0951,,,
11528,14/20-1,45.0906,115.4715,,1.1608,,,
11529,14/20-1,45.2251,119.7564,,1.2069,,,
11530,14/20-1,45.4726,119.5004,,1.2535,,,
11531,14/20-1,45.0853,117.5446,,1.3006,,,
11532,14/20-1,44.0666,119.6856,,1.344,,,
11533,14/20-1,42.6069,122.2789,,1.3844,,,
11534,14/20-1,41.8481,127.3671,,1.4247,,,
11535,14/20-1,41.5136,128.4004,,1.4621,,,
11536,14/20-1,40.6922,122.1272,,1.4984,,,
11537,14/20-1,39.7305,115.6516,,1.5346,,,
11538,14/20-1,37.7772,109.6231,,1.5709,,,
11539,14/20-1,36.5653,104.3139,,1.6071,,,
11540,14/20-1,36.3741,101.1736,,1.6434,,,
11541,14/20-1,36.3714,99.7864,,1.6796,,,
11542,14/20-1,36.5023,99.5791,,1.7168,,,
11543,14/20-1,36.9003,103.8299,,1.7805,,,
11544,14/20-1,37.3293,106.5362,,1.8554,,,
11545,14/20-1,36.9969,106.6056,,1.9302,,,
11546,14/20-1,36.2277,103.7847,,2.0143,,,
11547,14/20-1,34.7134,102.7551,,2.1526,,,
11548,14/20-1,33.687,99.9238,,2.2853,,,
11549,14/20-1,33.0074,93.33,,2.3709,,,
11550,14/20-1,32.616,86.7656,,2.3874,,,
11551,14/20-1,32.2237,82.5431,,2.3252,,,
11552,14/20-1,31.8324,84.542,,2.1982,,,
11553,14/20-1,31.4523,87.2034,,2.0791,,,
11554,14/20-1,31.5196,90.1185,,1.9833,,,
11555,14/20-1,31.9033,94.6831,,1.9692,,,
11556,14/20-1,32.3189,94.3595,,2.0114,,,
11557,14/20-1,32.7345,84.0359,,2.0889,,,
11558,14/20-1,33.1496,91.7606,,2.1843,,,
11559,14/20-1,33.081,103.1688,,2.2796,,,
11560,14/20-1,32.1199,115.5408,,2.3573,,,
11561,14/20-1,30.3716,117.2463,,2.4368,,,
11562,14/20-1,27.6824,99.9551,,2.5182,,,
11563,14/20-1,25.1183,80.3918,,2.587,,,
11564,14/20-1,24.1956,68.55,,2.5889,,,
11565,14/20-1,25.1566,68.7708,,2.4811,,,
11566,14/20-1,27.3855,72.0079,,2.1964,,,
11567,14/20-1,29.9086,75.6441,,1.8703,,,
11568,14/20-1,32.4004,79.1052,,1.5433,,,
11569,14/20-1,34.3404,81.0363,,1.2168,,,
11570,14/20-1,36.1056,84.1377,,0.9468,,,
11571,14/20-1,37.7452,91.4113,,0.8183,,,
11572,14/20-1,38.3964,99.628,,0.7005,,,
11573,14/20-1,38.0908,103.4936,,0.6439,,,
11574,14/20-1,36.4161,106.4543,,0.6227,,,
11575,14/20-1,34.9167,107.9037,,0.6145,,,
11576,14/20-1,33.5057,105.5895,,0.6206,,,
11577,14/20-1,32.7361,105.0361,,0.6373,,,
11578,14/20-1,32.8996,107.1245,,0.6629,,,
11579,14/20-1,33.2662,107.7775,,0.6989,,,
11580,14/20-1,33.0725,107.5424,,0.757,,,
11581,14/20-1,32.4368,108.0644,,0.8479,,,
11582,14/20-1,31.6892,108.6649,,0.9386,,,
11583,14/20-1,31.1274,108.1017,,1.0294,,,
11584,14/20-1,30.8442,109.0641,,1.1201,,,
11585,14/20-1,30.6887,108.405,,1.2109,,,
11586,14/20-1,30.6466,104.701,,1.3013,,,
11587,14/20-1,30.644,111.1228,,1.3556,,,
11588,14/20-1,30.5763,108.1311,,1.3703,,,
11589,14/20-1,30.0048,107.4994,,1.3447,,,
11590,14/20-1,29.3496,108.6129,,1.3155,,,
11591,14/20-1,28.7626,97.8992,,1.2804,,,
11592,14/20-1,28.4867,91.69,,1.2452,,,
11593,14/20-1,28.612,88.8315,,1.2101,,,
11594,14/20-1,29.0578,87.6258,,1.175,,,
11595,14/20-1,30.0323,89.2939,,1.1399,,,
11596,14/20-1,31.2576,89.4656,,1.1048,,,
11597,14/20-1,32.6477,87.9295,,1.0695,,,
11598,14/20-1,34.0602,89.3567,,1.0317,,,
11599,14/20-1,35.4221,91.5843,,0.993,,,
11600,14/20-1,36.5546,94.5868,,0.9543,,,
11601,14/20-1,37.6899,98.7767,,0.9155,,,
11602,14/20-1,38.6627,102.9589,,0.8769,,,
11603,14/20-1,38.5445,107.1458,,0.8381,,,
11604,14/20-1,37.9614,110.1444,,0.8092,,,
11605,14/20-1,36.7638,111.0326,,0.7849,,,
11606,14/20-1,35.3632,110.3537,,0.7634,,,
11607,14/20-1,34.0374,107.994,,0.7468,,,
11608,14/20-1,32.74,104.349,,0.7452,,,
11609,14/20-1,31.5724,100.4003,,0.7463,,,
11610,14/20-1,30.7866,97.4563,,0.7541,,,
11611,14/20-1,30.4498,96.7852,,0.7625,,,
11612,14/20-1,30.5105,96.7864,,0.7724,,,
11613,14/20-1,30.9655,97.2944,,0.7832,,,
11614,14/20-1,31.5838,98.0265,,0.7931,,,
11615,14/20-1,32.3167,98.6425,,0.7947,,,
11616,14/20-1,33.0263,98.9362,,0.7876,,,
11617,14/20-1,32.7505,98.8325,,0.7762,,,
11618,14/20-1,31.7561,98.4748,,0.7648,,,
11619,14/20-1,30.5398,98.1102,,0.7538,,,
11620,14/20-1,29.6194,97.7545,,0.7484,,,
11621,14/20-1,29.2746,97.5659,,0.7453,,,
11622,14/20-1,29.0392,97.5083,,0.7472,,,
11623,14/20-1,29.1209,97.6111,,0.7515,,,
11624,14/20-1,29.3596,97.6806,,0.7658,,,
11625,14/20-1,29.7953,97.6802,,0.7829,,,
11626,14/20-1,30.296,97.3347,,0.8,,,
11627,14/20-1,30.8585,96.7787,,0.8154,,,
11628,14/20-1,31.4226,96.1033,,0.8209,,,
11629,14/20-1,32.0548,95.3351,,0.8236,,,
11630,14/20-1,32.6972,94.5441,,0.8231,,,
11631,14/20-1,33.2218,94.6115,,0.8107,,,
11632,14/20-1,33.4749,95.3488,,0.7951,,,
11633,14/20-1,33.1923,96.7752,,0.7818,,,
11634,14/20-1,32.7538,98.1991,,0.7695,,,
11635,14/20-1,32.3432,99.3156,,0.7581,,,
11636,14/20-1,31.9374,100.2478,,0.7498,,,
11637,14/20-1,31.5317,100.6424,,0.7426,,,
11638,14/20-1,31.3317,100.4409,,0.7379,,,
11639,14/20-1,31.5424,100.2524,,0.7332,,,
11640,14/20-1,32.25,99.8007,,0.7294,,,
11641,14/20-1,33.1419,99.5692,,0.7293,,,
11642,14/20-1,34.0363,99.9382,,0.7292,,,
11643,14/20-1,34.9279,100.8285,,0.7291,,,
11644,14/20-1,35.8221,102.0732,,0.7262,,,
11645,14/20-1,36.5708,103.7214,,0.722,,,
11646,14/20-1,36.6477,106.1964,,0.7178,,,
11647,14/20-1,36.4183,106.9142,,0.7136,,,
11648,14/20-1,36.0122,105.6448,,0.7095,,,
11649,14/20-1,35.6533,100.8,,0.7053,,,
11650,14/20-1,35.4314,96.8204,,0.7004,,,
11651,14/20-1,35.2088,95.9109,,0.6936,,,
11652,14/20-1,34.9869,98.4322,,0.6868,,,
11653,14/20-1,34.4399,99.4204,,0.6799,,,
11654,14/20-1,33.6976,100.3407,,0.6731,,,
11655,14/20-1,32.9532,100.933,,0.6663,,,
11656,14/20-1,32.6957,100.9357,,0.6595,,,
11657,14/20-1,32.9221,101.2045,,0.6533,,,
11658,14/20-1,33.3523,101.7086,,0.6551,,,
11659,14/20-1,33.4105,102.4926,,0.6593,,,
11660,14/20-1,32.6482,103.2687,,0.6635,,,
11661,14/20-1,31.9745,103.3467,,0.6677,,,
11662,14/20-1,31.3243,102.7641,,0.6719,,,
11663,14/20-1,30.6805,102.8284,,0.6769,,,
11664,14/20-1,30.0858,103.214,,0.6879,,,
11665,14/20-1,29.7905,103.6705,,0.7059,,,
11666,14/20-1,29.6757,103.2973,,0.7349,,,
11667,14/20-1,29.6737,103.0347,,0.7741,,,
11668,14/20-1,29.6717,103.4253,,0.8252,,,
11669,14/20-1,29.6697,103.1426,,0.9175,,,
11670,14/20-1,29.6677,102.7967,,1.0266,,,
11671,14/20-1,29.6657,104.2444,,1.1355,,,
11672,14/20-1,29.6364,107.1066,,1.2446,,,
11673,14/20-1,29.4007,108.7231,,1.3535,,,
11674,14/20-1,28.8933,107.2969,,1.4551,,,
11675,14/20-1,28.1334,104.0823,,1.5464,,,
11676,14/20-1,27.3734,100.5789,,1.6377,,,
11677,14/20-1,26.6122,97.125,,1.7222,,,
11678,14/20-1,26.1607,94.2747,,1.7859,,,
11679,14/20-1,26.0525,92.2922,,1.8195,,,
11680,14/20-1,26.1973,89.8249,,1.8382,,,
11681,14/20-1,26.6788,86.5922,,1.8474,,,
11682,14/20-1,26.9013,84.7984,,1.8621,,,
11683,14/20-1,26.5445,84.5022,,1.8828,,,
11684,14/20-1,26.4397,84.5017,,1.9024,,,
11685,14/20-1,26.4377,84.1989,,1.925,,,
11686,14/20-1,26.4357,83.9244,,1.9714,,,
11687,14/20-1,26.3452,83.8215,,2.0153,,,
11688,14/20-1,26.1258,83.9159,,2.0309,,,
