,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
122,14/20-1,9.6657,,,,Stronsay,,
123,14/20-1,10.1629,,,,Stronsay,,
124,14/20-1,10.2591,,,,Stronsay,,
125,14/20-1,10.4556,,,,Stronsay,,
126,14/20-1,10.4516,,,,Stronsay,,
127,14/20-1,10.2471,,,,Stronsay,,
128,14/20-1,9.6416,,,,Stronsay,,
129,14/20-1,9.2366,,,,Stronsay,,
130,14/20-1,9.5437,,,,Stronsay,,
131,14/20-1,9.698,,,,Stronsay,,
132,14/20-1,10.1655,,,,Stronsay,,
133,14/20-1,10.51,,,,Stronsay,,
134,14/20-1,11.354,,,,Stronsay,,
135,14/20-1,11.522,,,,Stronsay,,
136,14/20-1,11.815,,,,Stronsay,,
137,14/20-1,11.811,,,,Stronsay,,
138,14/20-1,12.0777,,,,Stronsay,,
139,14/20-1,12.204,,,,Stronsay,,
140,14/20-1,12.4005,,,,Stronsay,,
141,14/20-1,12.3965,,,,Stronsay,,
142,14/20-1,12.3925,,,,Stronsay,,
143,14/20-1,12.188,,,,Stronsay,,
144,14/20-1,12.184,,,,Stronsay,,
145,14/20-1,11.7789,,,,Stronsay,,
146,14/20-1,11.5131,,,,Stronsay,,
147,14/20-1,11.3699,,,,Stronsay,,
148,14/20-1,11.2657,,,,Stronsay,,
149,14/20-1,10.9609,,,,Stronsay,,
150,14/20-1,10.6425,,,,Stronsay,,
151,14/20-1,10.2511,,,,Stronsay,,
152,14/20-1,10.1469,,,,Stronsay,,
153,14/20-1,9.9424,,,,Stronsay,,
154,14/20-1,9.9383,,,,Stronsay,,
155,14/20-1,9.9343,,,,Stronsay,,
156,14/20-1,9.8713,,,,Stronsay,,
157,14/20-1,9.9626,,,,Stronsay,,
158,14/20-1,9.5938,,,,Stronsay,,
159,14/20-1,9.016,,,,Stronsay,,
160,14/20-1,8.7113,,,,Stronsay,,
161,14/20-1,8.3346,,,,Stronsay,,
162,14/20-1,8.3023,,,,Stronsay,,
163,14/20-1,8.4987,,,,Stronsay,,
164,14/20-1,9.1965,,,,Stronsay,,
165,14/20-1,9.6937,,,,Stronsay,,
166,14/20-1,10.021,,,,Stronsay,,
167,14/20-1,10.601,,,,Stronsay,,
168,14/20-1,10.92,,,,Stronsay,,
169,14/20-1,11.0812,,,,Stronsay,,
170,14/20-1,11.2777,,,,Stronsay,,
171,14/20-1,11.4742,,,,Stronsay,,
172,14/20-1,11.6707,,,,Stronsay,,
173,14/20-1,11.6248,,,,Stronsay,,
174,14/20-1,11.4285,,,,Stronsay,,
175,14/20-1,11.6586,,,,Stronsay,,
176,14/20-1,11.968,,,,Stronsay,,
177,14/20-1,12.2521,,,,Stronsay,,
178,14/20-1,12.3141,,,,Stronsay,,
