OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
540,15/17- 10,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,0.26936029199998757,58.41005055900001
545,15/17- 15,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.36933487499999273,58.39020907399998
554,15/17- 21,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.36641723999997566,58.42465530499999
558,15/17- 24,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,0.33519447200001196,58.356604414
560,15/17- 25,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.21224812799999881,58.37979073499997
564,15/17- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.2875504389999719,58.48373949799998
566,15/17- 6,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.21232701600001747,58.470544073999974
567,15/17- 7,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.224746118999974,58.431569793999984
569,15/17- 8A,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.37264196699999275,58.36795829699997
570,15/17- 9,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.2559153689999789,58.400375036000014
578,15/18- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.4158331080000153,58.45699010999999
596,14/20- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,-0.09461911500000042,58.33661831400002
597,14/20- 10,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.1237046580000083,58.353562571
598,14/20- 11,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.10909139699998605,58.33434004899999
599,14/20- 12,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.12400087999998277,58.40228735599999
600,14/20- 13,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.12396188200000324,58.40234535799999
601,14/20- 14,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.12390888300001279,58.40241436100001
603,14/20- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.14600969499997518,58.34131184199998
606,14/20- 5,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.12471950999997716,58.393745033000016
608,14/20- 7,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.04256483900002195,58.383176675000016
609,14/20- 8,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.10745682800001077,58.41084287699999
610,14/20- 9,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.020263377999981458,58.49586709699997
626,14/20b- 29,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.01372876699997505,58.46441602099998
629,12/29- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-2.380029862000015,58.126553527
631,15/20a- 13,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.9354066020000005,58.380576727000005
633,15/20a- 17,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.9643391829999928,58.362766427
650,15/20b- 11Y,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.9796348959999932,58.356079368999985
657,15/21- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.08369579499998281,58.22203334699998
716,15/26b- 9,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.008589438999990762,58.00562451299999
746,15/18- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,0.4872257129999866,58.41983162899999
755,15/18b- 11,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.5217716050000263,58.48708653599999
759,15/19- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.648905314999979,58.414577441000006
772,16/12a- 18Z,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.259576509999988,58.58012208500003
773,16/12a- 19,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,1.2540707960000077,58.61478430300002
780,16/12a- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.2642770150000047,58.50490135899997
797,16/16b- 5,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,1.1367402849999735,58.48792516499998
806,16/17- 20,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,1.3470279690000098,58.39974948700001
813,16/17- 8A,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,1.2702860429999987,58.485613719000014
814,16/17- 9,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.28365881000002,58.47663755100001
834,15/19- 5,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.675621150999973,58.389796859
838,15/19- 9,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.603189499999985,58.42744934900003
839,15/19b- 10,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.6313930300000266,58.47694052200001
843,15/20- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.9307531829999789,58.364728086000014
850,15/21a- 51,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.11355708399997866,58.233339133000015
851,15/21a- 52,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.10322401399997716,58.228755836000005
854,15/21a- 55,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.11955651199997419,58.249645805
864,15/21b- 21,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.12299344799998835,58.208494341999995
867,15/21b- 45,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.018249104999995325,58.243172302999994
868,15/21b- 47,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,0.03414331999999831,58.31440211099999
872,15/21b- 49,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.06157941800000799,58.32845296900001
873,15/21b- 50,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.13220289499997762,58.22632010900003
890,15/23d- 13,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.5651285550000011,58.20205159699998
895,15/24a- 4,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,0.6588792759999933,58.197483589
910,16/06a- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,1.1648797940000009,58.67117429799998
911,16/06a- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.1773109569999747,58.78492867800003
937,19/04- 1,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.2781322309999723,57.940644953
962,16/21b- 34,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,1.1320677859999932,58.271538131
964,16/21b- 4A,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.1745036290000144,58.21048240699997
965,16/21b- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.0467764160000002,58.25015729900002
971,16/21d- 28,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,1.0882497050000097,58.314263165
974,16/21d- 36,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,1.0029383959999905,58.31409111099998
980,16/21a- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,1.0859724100000108,58.229046004
1024,15/29- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.6475503679999974,58.097951806000026
1037,15/29a- 9,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.7808026000000154,58.12851056599999
1046,15/30- 12,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.8588849170000117,58.10082451400001
1047,15/30- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,,,,,,,,,,0.8418713890000049,58.10242936399999
1061,16/01- 3,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,1.13148174600002,58.849213507
1062,16/02a- 2,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,1.3601980760000174,58.93635257599999
1063,16/02a- 3,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,1.3197075799999993,58.94438937799998
1065,16/02b- 4,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,1.2439661039999805,58.90910612699997
1070,16/03a- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,1.4158374859999867,58.85209311400001
1086,20/01- 5,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.895361524000009,57.87754852299997
1087,20/01- 5Z,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.895361524000009,57.87754852299997
1093,20/01- 8X,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.9296224319999737,57.96755534800002
1098,20/02- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,-0.6130586799999946,57.911013292999996
1099,20/02- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,-0.6647250350000036,57.888705834999996
1101,20/02- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,-0.7460065189999909,57.91953892800001
1117,15/27- 5Z,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.3556171500000005,58.10733753599999
1119,15/27- 9,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.2349482989999956,58.00864543900002
1127,15/21b- 56,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.020914790999995603,58.31831108900002
1134,15/22- 14,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.3210900089999882,58.247081219999984
1138,20/03a- 6,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.4748513690000209,57.895089453000026
1139,20/04- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.3473005280000052,57.883598635
1140,20/04a- 10,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.3584519249999971,57.84061493899998
1145,20/04a- 5,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.25736329400001523,57.90902568199999
1146,20/04a- 8,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.38423323900002515,57.877823963000026
1147,204/20a-F1Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.101078610999991,60.381923143999984
1163,204/24a-A13,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.337884815999985,60.31057722000003
1172,204/25a- 8,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.048581173000002,60.30847608099998
1173,204/25a- 8Y,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-4.048581173000002,60.30847608099998
1174,204/25a- 8Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.048581173000002,60.30847608099998
1178,204/25b-A3,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.170525860999987,60.299616087000004
1179,204/25b-A5,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.170794876000002,60.299749088
1189,204/30a- 3,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.049673745999996,60.025737413
1213,205/21a- 4,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-3.858352572000001,60.187613097999986
1214,205/21a- 4Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-3.858352572000001,60.187613097999986
1215,205/21a- 5,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.8401043289999848,60.283174953000014
1242,20/03- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,Yes,,,,,,,,-0.5008833480000021,57.92440418799998
1244,20/03- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,-0.5777583209999761,57.901122379000014
1245,20/03- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,,,,,,,,-0.4287061829999743,57.850221406
1272,2/10a- 8,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.9801004079999984,60.70352710700001
1277,2/15a- 9,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.9201007600000253,60.663524800999994
1287,205/26a- 4,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.973370052000007,60.04943733800002
1288,205/26a- 5,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-3.944661886999995,60.06014412899998
1289,205/26a- 5Z,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-3.944661886999995,60.06014412899998
1290,205/26a- 6,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.9336262009999814,60.034278305999976
1291,205/26a- 7,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.978254882999977,60.062426759999994
1292,205/26a- 7Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.978254882999977,60.062426759999994
1293,205/26a- 8,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.9751638889999867,60.06401686100003
1294,205/26a- 8Y,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.9751638889999867,60.06401686100003
1303,20/05c- 6,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,-0.10084582299998601,57.99145863199999
1330,20/07- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.6432778529999723,57.829436961
1334,20/07a- 6,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.7831922849999842,57.824961038000026
1336,20/08- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.4927976089999788,57.799251759000015
1337,20/08- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,,-0.4429226999999969,57.76259305899998
1338,20/08- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.5186296809999931,57.694367649000014
1339,20/09- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.3173201230000018,57.77848120499999
1340,20/09- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.3431587499999864,57.75457701800002
1341,20/09- 3,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.2560242339999945,57.79475255900002
1346,20/10a- 3,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.10614542700000129,57.728604037000025
1347,20/10b- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.14896644800001013,57.68032476000002
1348,20/10b- 5,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.04661228300000175,57.669011624999996
1353,20/20- 1,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.10501031100000091,57.35425158200002
1370,204/10a- 4Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.133854421000024,60.82388250299999
1372,204/13- 1Z,OGA Offshore Wells,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,-4.458233001999986,60.56157507400002
1380,204/18b- 2,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.410556815000007,60.491625075
1381,204/18b- 2A,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.40995380999999,60.49182108999997
1395,204/19a- 10,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-4.229391018000001,60.36501275699999
1400,204/20- 3Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.044762583000022,60.42588657599998
1412,204/20-L4Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.056429077000018,60.41130986500002
1413,204/20a-F1,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.101078610999991,60.381923143999984
1414,204/20a-F1X,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.101078610999991,60.381923143999984
1415,204/20a-F1Y,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.101078610999991,60.381923143999984
1416,16/29- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,1.686903018999999,58.154769606
1418,16/29a- 13,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,1.7138112760000013,58.02696124200003
1434,206/08- 13,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-2.4471879850000278,60.752111531000025
1435,206/08- 13Y,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,-2.4471879850000278,60.752111531000025
1438,206/08- 14Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-2.500729315000001,60.731753035999986
1442,204/20a-D1Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-4.182412048000003,60.351564887999984
1463,21/01b- 17,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,0.12445774899998696,57.86347578800002
1471,21/02- 7,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,0.2682703909999873,57.91282936499999
1476,21/06b- 5,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.10739918199999465,57.728365682
1479,21/07- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.236833273000002,57.71248871099999
1480,21/07- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.3307721599999809,57.726090365000005
1481,21/07a- 3,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.2665269729999977,57.76060181999998
1484,21/11- 5,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,0.0009582800000202951,57.52222092599999
1488,21/11- 8,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.0902729399999771,57.56122343599998
1495,21/13a- 5,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.39986311199999136,57.583339059000025
1498,21/13b- 4,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.4281813819999911,57.500566424
1510,21/15b- 4A,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,0.8114391340000111,57.62673968299998
1512,21/16- 1,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,0.14391426200000978,57.46948179899999
1513,21/16- 2,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,0.15969081499997628,57.466165875
