OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
134,14/18- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,-0.4872320079999781,58.45630676799999
135,14/18- 2,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,-0.5257285970000112,58.468653734999975
136,14/18- 3,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.47022871899997654,58.438064312999984
138,14/18- 5,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.5115906259999861,58.36845623800002
141,110/08a- 4,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.538091167999994,53.72092749500001
143,110/08c- 6,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5152095189999955,53.716894653
144,110/08c- 6Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5152095189999955,53.716894653
152,110/12- 7,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.663595348000001,53.591882806
153,110/12- 8,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.6497369909999975,53.646793729000024
156,110/12a- 9Y,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.6585028599999987,53.609489429999996
158,110/12a-C5,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.675988824000001,53.62582873100001
159,110/12a-C5Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.675988824000001,53.62582873100001
161,110/12b- 3,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.759263574999977,53.56727382399998
163,110/12b- 5,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.677740207999989,53.66369791599999
167,110/13- 16,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5147883019999995,53.54163306999999
168,110/13- 17,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.407643855999993,53.65254394300001
169,110/13- 18,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5803087869999786,53.599509092000005
175,13/22a- 9A,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.7180023490000167,58.307940658999996
181,13/22b- 4,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,-1.6922509010000226,58.226172013999985
